model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
XC60,7,70252,Dealer,Diesel,Automatic,11.2,2400,215.0,5,1825000
Tiago,2,10000,Individual,Petrol,Manual,23.84,1199,84.0,5,515000
CLS,2,6000,Dealer,Diesel,Automatic,19.0,1950,241.3,5,7500000
City,7,63000,Dealer,Petrol,Manual,17.8,1497,117.3,5,435000
i10,10,80292,Dealer,Petrol,Manual,20.36,1197,78.9,5,200000
Baleno,4,80000,Individual,Diesel,Manual,27.39,1248,74.0,5,520000
Superb,6,39000,Dealer,Petrol,Manual,13.14,1798,160.0,5,799000
Grand,4,22000,Individual,Petrol,Manual,18.9,1197,81.86,5,490000
Creta,6,110000,Individual,Diesel,Manual,19.67,1582,126.2,5,1100000
KWID,3,10103,Dealer,Petrol,Manual,25.17,799,53.3,5,325000
KUV,5,26000,Individual,Petrol,Manual,18.15,1198,82.0,6,420000
City,6,48623,Dealer,Petrol,Manual,17.8,1498,119.35,5,670000
Eeco,11,40000,Individual,CNG,Manual,21.94,1196,63.0,5,190000
City,6,65000,Dealer,Diesel,Manual,26.0,1498,98.6,5,500000
KWID,3,40746,Dealer,Petrol,Manual,25.17,799,53.3,5,300000
Figo,2,8073,Trustmark Dealer,Petrol,Manual,20.4,1194,94.93,5,575000
Swift Dzire,7,70000,Individual,Diesel,Manual,23.4,1248,74.0,5,575000
Duster,8,80000,Dealer,Diesel,Manual,19.87,1461,83.8,5,390000
Ecosport,4,35000,Dealer,Petrol,Automatic,14.8,1497,121.36,5,850000
Grand,3,30000,Individual,Petrol,Manual,18.9,1197,81.86,5,450000
Celerio,5,54000,Dealer,Petrol,Automatic,23.1,998,67.04,5,450000
3,9,60000,Dealer,Diesel,Automatic,16.07,1995,181.0,4,1250000
XUV500,4,20000,Individual,Diesel,Automatic,16.0,1997,140.0,7,1350000
Figo,4,40000,Individual,Petrol,Manual,18.12,1196,86.8,5,500000
XF,7,67000,Individual,Diesel,Automatic,16.36,2179,187.7,5,1900000
City,13,46252,Dealer,Petrol,Manual,17.7,1497,78.0,5,225000
Vitara,3,64000,Individual,Diesel,Manual,24.3,1248,88.5,5,790000
Alto,29,22612,Dealer,Petrol,Manual,22.05,796,47.3,5,60000
X1,3,18000,Dealer,Diesel,Automatic,19.62,1998,192.0,5,3350000
Swift Dzire,9,74600,Individual,Diesel,Manual,19.3,1248,73.9,5,410000
Verna,3,5500,Dealer,Petrol,Manual,17.0,1591,121.3,5,1045000
Harrier,2,18000,Dealer,Diesel,Manual,17.0,1956,138.1,5,1595000
KUV,4,35000,Individual,Petrol,Manual,18.15,1198,82.0,6,450000
Thar,5,49000,Dealer,Diesel,Manual,16.55,2498,105.0,7,750000
Duster,4,85000,Dealer,Diesel,Automatic,19.87,1461,108.5,5,690000
redi-GO,5,7001,Dealer,Petrol,Manual,21.7,999,67.05,5,325000
Santro,11,120000,Individual,LPG,Manual,17.8,1086,63.0,5,134000
GO,5,120000,Individual,Petrol,Manual,20.62,1198,67.0,7,200000
Rapid,9,110000,Dealer,Diesel,Manual,20.5,1598,103.5,5,440000
Grand,2,16000,Individual,Petrol,Automatic,18.9,1197,81.86,5,575000
Ciaz,3,15700,Dealer,Petrol,Automatic,20.28,1462,103.25,5,920000
KWID,5,25000,Individual,Petrol,Manual,25.17,799,53.3,5,240000
X1,9,92000,Dealer,Diesel,Automatic,17.05,1995,184.0,5,1200000
Superb,12,83546,Dealer,Petrol,Automatic,13.7,1798,157.75,5,310000
WR-V,4,33000,Dealer,Diesel,Manual,25.5,1498,98.6,5,699000
Ecosport,7,78000,Dealer,Diesel,Manual,22.7,1498,89.84,5,425000
Eeco,6,58500,Dealer,Petrol,Manual,15.37,1196,73.0,7,349000
i20,5,63669,Trustmark Dealer,Petrol,Manual,18.6,1197,81.83,5,645000
i10,12,97341,Dealer,Petrol,Manual,20.36,1197,78.9,5,165000
i10,10,102000,Dealer,Petrol,Automatic,16.95,1197,78.9,5,285000
Wagon R,7,25978,Dealer,Petrol,Manual,18.9,998,67.1,5,325000
Scorpio,2,40000,Individual,Diesel,Manual,16.36,2179,120.0,7,1200000
Grand,5,30000,Individual,Petrol,Manual,18.9,1197,82.0,5,550000
GL-Class,7,93000,Dealer,Diesel,Automatic,12.0,2987,224.0,7,3450000
Vitara,3,105000,Dealer,Diesel,Manual,24.3,1248,88.5,5,825000
Duster,5,123000,Individual,Diesel,Manual,19.64,1461,108.45,5,650000
i20,5,65000,Dealer,Petrol,Manual,17.19,1197,81.86,5,545000
Alto,16,70000,Individual,Petrol,Manual,19.7,796,46.3,5,85000
Grand,5,14000,Individual,Petrol,Manual,18.9,1197,82.0,5,495000
Creta,4,7900,Dealer,Petrol,Manual,15.29,1591,121.3,5,1175000
Bolero,10,106000,Dealer,Diesel,Manual,13.6,2523,63.0,7,540000
X1,5,24000,Dealer,Diesel,Automatic,19.62,1998,192.0,5,2575000
Amaze,4,30073,Dealer,Petrol,Manual,18.0,1198,86.7,5,475000
KWID,5,60000,Individual,Petrol,Manual,25.17,799,53.3,5,276000
i20,6,109555,Dealer,Diesel,Manual,22.54,1396,88.73,5,655000
Venue,1,10000,Individual,Diesel,Manual,23.7,1493,98.6,5,1000000
Ecosport,3,16000,Dealer,Petrol,Manual,15.9,1496,120.69,5,875000
Scorpio,10,120000,Individual,Diesel,Manual,12.05,2179,120.0,8,480000
Swift Dzire,5,120000,Individual,Diesel,Manual,26.59,1248,74.0,5,568000
Tiago,2,5000,Individual,Petrol,Automatic,23.84,1199,83.83,5,590000
i10,11,80000,Individual,Petrol,Manual,20.36,1197,78.9,5,180000
Celerio,7,40860,Dealer,Petrol,Manual,21.63,998,67.04,5,345000
Nexon,3,10000,Individual,Petrol,Manual,17.0,1198,108.5,5,550000
Ecosport,5,20000,Individual,Petrol,Manual,15.85,1499,110.4,5,620000
Wagon R,7,54099,Dealer,Petrol,Manual,18.9,998,67.1,5,280000
Alto,3,35000,Individual,Petrol,Manual,23.95,998,67.1,5,350000
Ecosport,5,55000,Dealer,Diesel,Manual,22.7,1498,89.84,5,750000
Fortuner,3,25344,Dealer,Diesel,Automatic,12.9,2755,174.5,7,3485000
Polo,5,63000,Dealer,Diesel,Manual,20.14,1498,88.0,5,510000
Polo,7,72000,Individual,Petrol,Manual,16.47,1198,74.0,5,390000
Grand,5,27471,Dealer,Petrol,Automatic,18.9,1197,82.0,5,480000
Swift Dzire,3,20000,Individual,Diesel,Manual,28.4,1248,74.02,5,720000
GL-Class,3,20000,Dealer,Diesel,Automatic,17.9,2143,167.6,5,5100000
KUV,5,30000,Dealer,Diesel,Manual,25.32,1198,77.0,6,580000
Rapid,3,60000,Dealer,Diesel,Automatic,21.72,1498,108.6,5,990000
i10,7,17800,Individual,Petrol,Manual,19.81,1086,68.05,5,325000
i20,6,50000,Individual,Diesel,Manual,21.19,1396,88.73,5,590000
Polo,5,39000,Dealer,Petrol,Manual,16.47,1198,74.0,5,525000
5,3,23000,Dealer,Diesel,Automatic,22.48,1995,187.74,5,4000000
i20,10,60000,Dealer,Petrol,Manual,17.0,1197,80.0,5,245000
A4,7,49000,Individual,Diesel,Automatic,17.11,1968,174.33,5,1850000
Bolero,9,100000,Individual,Diesel,Manual,15.96,2523,62.1,7,400000
Grand,4,25000,Individual,Petrol,Manual,18.9,1197,81.86,5,500000
Verna,11,50111,Dealer,Diesel,Manual,16.2,1493,110.0,5,199000
City,10,58568,Dealer,Petrol,Manual,16.8,1497,116.4,5,350000
Polo,8,69000,Dealer,Petrol,Manual,17.24,1198,73.9,5,350000
XUV500,6,43000,Dealer,Diesel,Manual,15.1,2179,140.0,7,849000
City,5,56436,Trustmark Dealer,Petrol,Automatic,18.0,1497,117.3,5,825000
C-Class,12,56000,Dealer,Petrol,Automatic,11.74,1796,186.0,5,649000
Ecosport,4,28000,Individual,Petrol,Manual,17.0,1497,121.36,5,600000
Polo,6,64979,Dealer,Diesel,Manual,20.14,1498,88.8,5,595000
Wagon R,11,55000,Dealer,Petrol,Manual,18.9,998,67.1,5,250000
i10,10,40258,Dealer,Petrol,Manual,19.81,1086,68.05,5,230000
5,4,45000,Dealer,Diesel,Automatic,22.48,1995,187.74,5,3915000
Amaze,3,30000,Individual,Petrol,Manual,17.8,1198,86.7,5,500000
Alto,5,67100,Dealer,Petrol,Manual,22.74,796,47.3,5,275000
